mode;num_cities;num_ants;num_generations;num_cores;num_pc;time
1;100;100;2;1;1;2.2287185192108154
1;100;300;2;1;1;6.469703674316406
1;100;600;2;1;1;9.721452951431274
1;100;1000;2;1;1;15.29823112487793
1;300;100;2;1;1;14.284682035446167
1;300;300;2;1;1;36.09767246246338
1;300;600;2;1;1;69.97083592414856
1;300;1000;2;1;1;115.42253088951111
1;600;100;2;1;1;49.45323896408081
1;600;300;2;1;1;138.60773921012878
1;600;600;2;1;1;271.08426427841187
1;600;1000;2;1;1;450.89141273498535
1;1000;100;2;1;1;121.51205897331238
1;1000;300;2;1;1;359.7803373336792
1;1000;600;2;1;1;705.589597940445
1;1000;1000;2;1;1;1172.7968351840973
2;100;100;2;1;1;2.4124550819396973
2;100;100;2;2;1;2.111271381378174
2;100;100;2;3;1;2.149071216583252
2;100;100;2;4;1;2.256077527999878
2;100;100;2;5;1;2.452594041824341
2;100;100;2;6;1;2.6274726390838623
2;100;300;2;1;1;4.033777236938477
2;100;300;2;2;1;2.8815348148345947
2;100;300;2;3;1;2.6449694633483887
2;100;300;2;4;1;2.615187883377075
2;100;300;2;5;1;2.8170840740203857
2;100;300;2;6;1;2.9678502082824707
2;100;600;2;1;1;6.332204103469849
2;100;600;2;2;1;4.065587282180786
2;100;600;2;3;1;3.4458422660827637
2;100;600;2;4;1;3.2415382862091064
2;100;600;2;5;1;3.2549641132354736
2;100;600;2;6;1;3.3902461528778076
2;100;1000;2;1;1;9.508218765258789
2;100;1000;2;2;1;5.941300392150879
2;100;1000;2;3;1;4.640761137008667
2;100;1000;2;4;1;4.234954357147217
2;100;1000;2;5;1;4.004441976547241
2;100;1000;2;6;1;4.078892230987549
2;300;100;2;1;1;9.111088037490845
2;300;100;2;2;1;5.7516279220581055
2;300;100;2;3;1;4.871162176132202
2;300;100;2;4;1;4.540806770324707
2;300;100;2;5;1;4.387689828872681
2;300;100;2;6;1;4.4005396366119385
2;300;300;2;1;1;22.940560579299927
2;300;300;2;2;1;12.870621681213379
2;300;300;2;3;1;9.91659426689148
2;300;300;2;4;1;8.504943609237671
2;300;300;2;5;1;7.790648937225342
2;300;300;2;6;1;7.379969358444214
2;300;600;2;1;1;43.9340136051178
2;300;600;2;2;1;23.48993420600891
2;300;600;2;3;1;17.630711793899536
2;300;600;2;4;1;14.40677547454834
2;300;600;2;5;1;12.690821409225464
2;300;600;2;6;1;11.794332504272461
2;300;1000;2;1;1;71.95025682449341
2;300;1000;2;2;1;37.93689036369324
2;300;1000;2;3;1;27.837011337280273
2;300;1000;2;4;1;22.917246341705322
2;300;1000;2;5;1;19.796127319335938
2;300;1000;2;6;1;18.498892068862915
2;600;100;2;1;1;31.350127696990967
2;600;100;2;2;1;18.114729642868042
2;600;100;2;3;1;14.165558815002441
2;600;100;2;4;1;12.230895519256592
2;600;100;2;5;1;11.076461791992188
2;600;100;2;6;1;10.544048547744751
2;600;300;2;1;1;86.23983359336853
2;600;300;2;2;1;46.13676643371582
2;600;300;2;3;1;34.59251880645752
2;600;300;2;4;1;29.789547443389893
2;600;300;2;5;1;25.50776171684265
2;600;300;2;6;1;25.584314346313477
2;600;600;2;1;1;186.57009840011597
2;600;600;2;2;1;94.27971076965332
2;600;600;2;3;1;64.51395392417908
2;600;600;2;4;1;53.09951710700989
2;600;600;2;5;1;46.74725151062012
2;600;600;2;6;1;42.65024161338806
2;600;1000;2;1;1;282.89149379730225
2;600;1000;2;2;1;146.92104029655457
2;600;1000;2;3;1;106.44958734512329
2;600;1000;2;4;1;86.6998062133789
2;600;1000;2;5;1;74.06762862205505
2;600;1000;2;6;1;64.68262529373169
2;1000;100;2;1;1;84.03648900985718
2;1000;100;2;2;1;48.103599071502686
2;1000;100;2;3;1;37.132798194885254
2;1000;100;2;4;1;31.681488513946533
2;1000;100;2;5;1;27.375667572021484
2;1000;100;2;6;1;26.415513277053833
2;1000;300;2;1;1;237.88244080543518
2;1000;300;2;2;1;130.28786492347717
2;1000;300;2;3;1;94.97662234306335
2;1000;300;2;4;1;79.27721285820007
2;1000;300;2;5;1;72.01404309272766
2;1000;300;2;6;1;66.5459246635437
2;1000;600;2;1;1;470.74793124198914
2;1000;600;2;2;1;249.3731813430786
2;1000;600;2;3;1;181.60916757583618
2;1000;600;2;4;1;148.4097900390625
2;1000;600;2;5;1;129.52143239974976
2;1000;600;2;6;1;122.00800943374634
2;1000;1000;2;1;1;798.9710767269135
2;1000;1000;2;2;1;417.5228033065796
2;1000;1000;2;3;1;306.88247179985046
2;1000;1000;2;4;1;257.581556558609
2;1000;1000;2;5;1;213.8162567615509
2;1000;1000;2;6;1;196.40386819839478
3;100;100;2;1;1;4.30958104133606
3;100;100;2;1;2;4.166489601135254
3;100;300;2;1;1;4.9876930713653564
3;100;300;2;1;2;4.387373685836792
3;100;600;2;1;1;4.8895885944366455
3;100;600;2;1;2;4.934828042984009
3;100;1000;2;1;1;5.5716705322265625
3;100;1000;2;1;2;5.34426212310791
3;300;100;2;1;1;6.181323528289795
3;300;100;2;1;2;7.877568960189819
3;300;300;2;1;1;8.975946187973022
3;300;300;2;1;2;9.247068166732788
3;300;600;2;1;1;12.927021026611328
3;300;600;2;1;2;11.943940877914429
3;300;1000;2;1;1;19.16534113883972
3;300;1000;2;1;2;16.962115049362183
3;600;100;2;1;1;15.478688955307007
3;600;100;2;1;2;18.791338443756104
3;600;300;2;1;1;27.20275855064392
3;600;300;2;1;2;25.37397074699402
3;600;600;2;1;1;45.596540451049805
3;600;600;2;1;2;48.18224906921387
3;600;1000;2;1;1;70.98456907272339
3;600;1000;2;1;2;60.12881565093994
3;1000;100;2;1;1;52.200462341308594
3;1000;100;2;1;2;66.33834719657898
3;1000;300;2;1;1;85.53490161895752
3;1000;300;2;1;2;87.1355836391449
3;1000;600;2;1;1;136.85439324378967
3;1000;600;2;1;2;122.92090511322021
3;1000;1000;2;1;1;214.6838562488556
3;1000;1000;2;1;2;187.5163974761963
3;600;100;2;6;1;13.993485450744629
3;600;100;2;6;2;26.39194393157959
3;600;300;2;6;1;25.519521236419678
3;600;300;2;6;2;34.33945655822754
3;600;600;2;6;1;43.683024644851685
3;600;600;2;6;2;44.00322484970093
3;600;1000;2;6;1;67.58672952651978
3;600;1000;2;6;2;65.09174609184265
3;1000;100;2;6;1;53.92635679244995
3;1000;100;2;6;2;109.44553685188293
